0.103828,-0.750514,0.001014,-0.435896,-0.864807,0.732897,0.006093,0.329981,-0.876717,0.256900,|0.489539,0.841038,-0.723588,-0.782137,0.359792,-0.390588,0.043781,0.548413,0.436366,0.266800,
-0.023508,-0.689591,0.009451,0.218286,-0.791196,0.658509,0.006093,-0.076732,0.260422,-0.088056,|0.183653,0.108836,0.565117,-0.656937,-0.238002,-0.194945,0.043781,-0.360623,-0.007254,-0.166784,
-0.049227,0.136663,0.000921,0.352168,0.140138,-0.528285,0.006093,-0.270299,0.322958,-0.144179,|0.004769,-0.290293,0.332957,0.776544,-0.534534,0.126269,0.043781,-0.528307,-0.220954,-0.307680,
-0.002548,0.528559,0.006670,0.005403,0.516557,-0.303511,0.006093,0.165690,0.338733,-0.049810,|-0.055132,-0.247667,-0.261364,0.097166,-0.389874,0.272802,0.043781,0.290421,-0.307720,0.246640,
0.002079,-0.187286,0.009370,-0.166978,-0.391456,0.111453,0.006093,0.144178,-0.329353,-0.045266,|0.019218,-0.019363,-0.208479,-0.312293,-0.584437,0.190400,0.043781,0.505756,0.360250,-0.649143,
0.004383,-0.479860,-0.001504,0.190861,0.638518,0.148540,0.000644,-0.034009,0.346880,-0.034905,|0.056229,0.116924,-0.049853,0.553015,0.220883,0.067518,0.022696,0.360198,0.280241,-0.474759,
-0.003134,0.815254,-0.002823,0.105015,0.240095,-0.072822,-0.001399,0.070237,0.505757,0.019314,|0.028441,0.041628,0.124194,0.117338,-0.399838,-0.066670,0.006955,-0.051838,-0.358424,0.245311,
-0.002469,-0.811081,-0.002201,-0.227366,-0.216153,-0.151711,-0.002415,0.094754,0.228461,-0.141217,|-0.027798,-0.126508,-0.134288,-0.266525,-0.665655,-0.023377,-0.000865,-0.241482,-0.065059,-0.026120,
0.003907,-0.307131,-0.001046,0.405780,0.713961,-0.133454,-0.002919,0.034823,-0.342943,-0.039403,|0.055165,-0.056251,-0.189398,0.246932,0.376651,-0.039005,-0.004745,0.057980,0.110813,-0.157509,
-0.006939,0.648163,-0.002014,-0.387566,0.419379,0.152793,-0.001776,-0.065222,0.535910,-0.141698,|0.053694,0.091109,0.204035,0.012262,-0.591895,-0.053614,0.003667,0.127054,0.033181,0.111372,
0.009100,-0.109289,-0.002537,0.252421,-0.324864,0.031416,-0.002271,-0.038154,0.075015,-0.115122,|-0.031120,-0.054787,0.091158,-0.086109,-0.046761,-0.033898,0.003980,-0.106827,-0.103216,-0.039140,
0.000206,-0.331492,-0.002193,-0.345707,-0.614094,-0.077040,-0.002885,0.030672,-0.271742,0.102724,|0.008116,-0.066352,-0.186912,-0.077490,0.263408,0.015651,-0.003386,0.041465,0.020206,-0.061300,
-0.008735,0.099247,-0.001645,0.203996,0.607209,0.072654,-0.002810,0.010264,0.506736,0.182040,|0.016293,-0.041349,-0.171968,0.272918,-0.237630,-0.040094,-0.000974,0.065993,0.014276,0.007723,
0.011835,0.244595,-0.001673,0.122203,0.681912,0.033557,-0.001754,0.017214,0.141077,0.031678,|-0.024289,0.023126,0.138611,0.312412,0.017060,0.006518,0.000439,-0.019471,-0.138984,-0.014406,
-0.009907,0.004549,-0.001624,-0.091574,-0.603214,0.009678,-0.001234,0.006519,-0.139076,-0.108197,|-0.014346,-0.061412,-0.199022,-0.480809,0.025836,0.025401,0.001136,-0.022494,0.044670,-0.024369,
0.001191,-0.117090,-0.001053,0.018208,-0.850540,-0.015875,-0.000977,0.000992,-0.025685,-0.019751,|0.026110,0.005674,0.171673,0.043146,-0.088221,0.008852,0.001480,0.023044,0.091375,0.004393,
0.000588,-0.002623,-0.001493,0.041964,0.496192,-0.018226,-0.001370,-0.004443,0.030522,0.028264,|0.010499,-0.018377,-0.326785,0.264843,-0.004266,-0.003621,0.001259,0.033107,-0.050804,0.013061,
-0.002747,0.054197,-0.001311,0.026769,-0.612209,-0.004422,-0.001375,0.000380,0.033000,-0.047728,|-0.009426,-0.010880,0.457622,-0.031373,-0.022486,0.010719,0.000780,0.001360,-0.065051,0.002592,
0.004193,0.006810,-0.001234,-0.012808,0.443856,0.005093,0.000317,0.002749,0.010156,0.019390,|0.008961,0.009391,0.391146,-0.121918,-0.049293,0.008055,0.000860,-0.014232,-0.044302,-0.001426,
0.002046,-0.023947,0.000160,0.044536,-0.934862,0.003817,0.001147,-0.003080,-0.003750,0.039030,|0.016686,0.009548,0.391146,0.021468,-0.039229,-0.000582,0.000899,0.014367,0.003585,-0.002549,
-0.005111,0.002789,-0.001736,0.016729,0.170949,-0.003422,0.000841,0.001047,-0.010324,0.000485,|-0.001581,0.003907,0.391146,-0.020877,-0.001509,-0.002189,0.000830,-0.012398,0.024303,0.000932,
-0.004808,0.012970,-0.000607,-0.020633,0.523965,0.007841,-0.000239,0.001254,0.012846,-0.018514,|-0.006440,-0.001291,0.391146,-0.019299,0.020590,-0.001713,0.000874,-0.016012,0.007647,0.002562,
