6.896077 10154 3.517467,4.997932 10291 3.697620,3.544466 10267 3.802762
4.157837 10380 3.486643,2.504353 13079 5.537223,0.749056 10287 4.074569
4.157837 10470 4.225989,2.504354 10169 3.472173,0.715596 10717 5.006339
4.157837 10179 3.629842,2.504354 10128 3.437763,0.715615 11630 3.901488
4.157837 10171 3.282158,2.263184 10113 3.298896,2.139305 15684 5.150907
4.157837 10177 3.278441,2.504354 10469 3.415188,0.749112 10186 3.365176
9.265243 10564 3.507746,2.654970 10206 3.293700,2.267237 10290 3.333153
4.157837 10087 3.250138,2.263184 10149 3.309181,0.695986 10148 3.307322
4.157837 10184 3.283417,2.504354 10223 3.323193,0.715550 10481 3.408339
4.157837 10226 3.290345,2.263185 10194 3.306628,0.695918 10262 3.319616
4.157837 10146 3.267844,2.504357 10148 3.286947,2.364034 10725 3.509312
4.157837 10247 3.292778,2.504353 18190 5.905872,0.715530 10383 3.353014
4.157837 10629 3.415767,2.504357 10448 3.412651,0.725135 11944 3.844111
5.581117 10332 3.399814,3.744877 10971 3.571871,2.451147 10138 3.297742
9.265243 10569 3.456243,2.654989 10287 3.299152,1.472024 10000 3.104864
4.157837 10131 3.257759,2.267987 11313 3.682360,2.170001 14395 4.718480
4.157837 10185 3.265871,2.263184 10136 3.282387,2.139305 11855 3.879134
4.157837 10130 3.253324,2.504354 10893 3.508901,0.715529 10501 3.391107
9.265249 10235 3.366947,2.654683 10151 3.258329,1.129445 10269 3.358562
9.265248 10157 3.316706,4.190283 10191 3.318173,2.667451 14267 4.639619
4.157837 10444 3.351203,2.267972 10661 3.464013,1.963235 10144 3.273284
4.157837 11083 3.579890,2.267972 10615 3.441117,2.170432 13499 4.382581
