-0.319512,0.388081,-0.621167,-0.398032,-0.125025,0.336773,0.475743,0.660382,0.517161,-0.961151,|-1.434835,0.911034,0.669124,0.475410,1.139213,-0.420858,0.754909,1.997481,1.708558,-0.499958,
0.955182,0.380454,0.424889,0.571334,0.402846,0.336773,0.200763,0.587241,0.199941,0.102020,|-0.555737,0.845486,-0.514152,-1.096106,-1.245749,-0.420858,-0.682458,1.997481,-0.124523,-0.475255,
0.956339,0.026632,0.940393,0.462654,0.294031,0.164583,0.062415,0.420761,0.041554,0.665537,|0.437602,0.022998,-0.405672,1.297439,1.160526,-0.253527,-0.884524,-0.399437,-1.039779,0.117675,
0.497407,-0.149853,0.305721,0.462654,0.294031,0.008728,0.101567,-0.052850,0.185551,-0.215786,|0.633752,-0.387257,-0.380664,1.585394,1.160526,0.245419,0.740581,-1.557698,-0.073730,-0.021052,
-0.062986,0.086478,-0.181872,0.462654,0.294031,-0.044806,0.017697,0.328670,0.235646,-0.363028,|0.122842,0.535657,-0.070285,1.051583,0.853510,0.147867,0.967313,-0.445333,0.480509,-0.047423,
-0.194080,0.013380,-0.178714,0.462654,-0.634586,0.028225,0.267385,-0.005924,0.030345,-0.174630,|-0.225260,0.267767,0.186884,-0.307336,0.276054,-0.003753,-1.609083,0.229724,-0.193471,0.084724,
0.339384,0.018903,0.218512,0.462654,-0.930135,0.064542,-0.092047,-0.143633,-0.071916,0.060231,|-0.079506,-0.275230,-0.371216,-0.726774,-0.109559,-0.079151,1.341540,0.147804,-0.514433,-0.021529,
0.307715,0.032411,-0.194260,0.462654,-0.558239,0.006680,0.266676,-0.134460,-0.002671,0.131580,|0.501125,-0.112856,-0.060707,-0.568371,0.632132,0.111851,-1.539612,-0.001948,0.271918,-0.043198,
-0.483748,0.031151,-0.117817,0.462654,-0.100954,0.028704,0.169909,0.084497,0.085690,-0.081327,|0.204197,0.198341,0.177241,0.717614,0.011675,-0.217910,-0.625423,-0.078387,-0.708751,-0.042516,
-0.477288,0.027767,-0.009897,-0.517373,0.288125,0.038495,0.063827,0.142232,0.032835,0.174124,|-0.275512,-0.008532,0.076416,1.053055,-0.315044,-0.039633,0.140970,-0.101223,0.353408,-0.004545,
0.466094,0.026639,0.063584,-0.378053,-0.169874,0.019599,0.010519,-0.064951,-0.002622,0.031991,|0.226664,-0.106471,-0.055861,-0.314345,0.291655,0.122560,0.504052,-0.045815,-0.096716,-0.003499,
-0.479195,0.029292,-0.049947,-0.104509,-0.110339,0.022012,0.029248,-0.153967,0.029070,-0.038656,|-0.011153,0.043907,0.172368,-0.970559,0.467722,-0.002844,-0.548262,0.028072,-0.195115,-0.003474,
0.333689,0.028363,-0.025720,-0.056305,0.166834,0.023205,0.034935,-0.016792,0.017378,0.007489,|0.073862,0.071969,-0.164739,1.071030,-1.029291,-0.064823,-0.221866,-0.001142,0.078965,-0.002355,
-0.177536,0.016214,0.057796,-0.239955,0.175279,0.020629,-0.013497,0.092957,-0.006611,0.030273,|0.161240,-0.051054,0.030336,-1.482288,0.029521,-0.002006,0.620627,-0.015960,0.212865,-0.001803,
-0.166480,0.012182,0.077334,-0.345084,-0.079201,0.004644,0.044823,-0.140208,0.046242,0.003307,|-0.146568,-0.025890,0.090662,-0.018672,0.495244,0.028327,-0.695725,-0.011204,0.003023,-0.003463,
0.219511,0.007714,0.050794,-0.316524,-0.205172,0.018002,0.019064,-0.078836,0.016703,-0.009979,|-0.030846,0.019457,0.040213,0.705186,-0.107160,-0.033152,-0.442747,0.006105,-0.103429,-0.004281,
0.019842,-0.002145,-0.048150,-0.130777,0.000509,0.003131,0.043192,0.104505,0.033245,0.001897,|0.254496,0.008250,-0.043665,0.337348,-0.107328,-0.024679,0.493810,0.001421,-0.086591,-0.002581,
-0.137073,-0.003509,0.154311,-0.096693,-0.031516,0.022216,0.034462,-0.146556,0.034814,0.007737,|-0.071002,-0.002991,-0.025067,-1.078070,-0.005497,0.022533,-0.524521,-0.010169,0.176217,-0.001746,
0.096949,-0.001582,-0.141659,-0.380461,0.007439,0.006158,0.030090,0.041921,-0.003186,-0.007809,|0.020406,-0.007703,0.039857,-0.904847,0.050057,-0.001674,0.453353,-0.008091,-0.255438,-0.003402,
0.030446,-0.002847,0.050104,0.016751,-0.008600,-0.006097,0.036854,0.030509,0.002512,0.006225,|0.048251,0.004841,0.040074,0.864268,0.047531,-0.015102,0.428490,0.005954,0.241484,-0.002374,
-0.016158,-0.001059,0.072477,0.006400,-0.045543,0.007052,0.022486,-0.100883,0.025621,-0.000887,|0.056209,-0.003143,-0.036648,-0.441925,-0.075245,0.015647,-0.621796,0.003441,0.326512,-0.002159,
0.038334,0.000123,-0.062525,-0.251479,0.038954,-0.001929,0.040545,0.107589,0.032796,-0.004369,|-0.033911,-0.006384,0.104208,-0.319962,0.020533,-0.001164,-0.630535,-0.005426,0.176110,-0.002054,
0.038195,-0.004361,0.065002,-0.250760,-0.040435,-0.006321,0.020908,0.034125,0.045553,0.002581,|-0.031915,0.002652,0.017120,0.521876,0.004870,-0.009387,-0.190286,0.002900,-0.282639,-0.001358,
0.015083,-0.000432,0.061512,-0.291817,-0.043500,0.004281,0.083293,-0.069532,0.047765,-0.000859,|0.002195,0.001803,-0.013209,0.219395,-0.021212,0.010148,0.620852,0.000051,-0.321640,-0.001459,
-0.022764,0.000844,-0.023283,0.188575,0.053938,0.006827,0.045331,0.103710,0.002940,-0.002537,|0.015913,-0.004800,-0.009842,-0.224774,0.018787,0.004572,-0.334880,-0.005333,0.188029,-0.001508,
0.041838,-0.001932,-0.059138,0.223388,-0.093877,-0.000072,0.011696,-0.040230,0.030668,0.000630,|-0.035826,-0.000913,-0.003036,-0.175626,-0.000073,-0.004690,-0.309911,0.006408,-0.030259,-0.001454,
0.020550,0.000356,-0.053156,0.207999,0.018289,-0.004535,0.013312,-0.029142,-0.009923,0.002172,|0.029243,0.006261,-0.008195,0.111578,-0.016413,-0.004364,0.519500,0.005593,-0.104317,-0.001427,
-0.011259,0.001272,0.010000,0.138882,0.056331,0.000546,0.036348,0.042431,-0.006363,0.000270,|0.051762,-0.010585,-0.001353,0.028769,0.001314,0.001289,-0.309175,-0.010368,0.061634,-0.001468,
0.040455,0.001051,0.038648,-0.067793,0.012679,0.003015,0.029470,-0.004345,0.065153,-0.000573,|-0.052075,0.009187,0.002989,-0.018627,0.005580,0.004035,0.228351,0.009390,-0.052845,-0.000339,
-0.008349,-0.001112,0.012770,-0.163753,-0.013116,0.002810,0.091983,-0.026973,-0.068112,-0.000983,|0.036599,-0.000200,0.000279,-0.035026,0.001088,-0.004992,0.246668,0.010745,-0.079917,0.000209,
-0.000437,-0.001479,-0.015817,0.184267,-0.013995,-0.001416,-0.043075,-0.004553,0.017446,0.000120,|0.041296,-0.004987,-0.003464,0.020265,-0.001290,-0.001060,0.006860,-0.009383,-0.059469,-0.001049,
0.013569,-0.001174,0.011752,-0.150615,0.005494,-0.002844,-0.040494,0.012896,0.035633,-0.001079,|-0.062384,-0.002528,-0.003836,-0.010235,-0.000786,0.004584,-0.120811,-0.007382,0.034152,-0.000393,
0.008838,-0.000942,0.000501,0.091575,0.006860,0.000209,-0.021932,-0.003240,0.037445,-0.001433,|-0.007664,0.005053,0.003806,-0.036955,-0.000249,-0.000332,0.201691,0.007099,-0.010102,0.000046,
-0.003359,0.000222,-0.005438,0.077027,-0.008096,0.001684,-0.046743,-0.006512,-0.007207,-0.000381,|0.033037,0.008177,0.002226,0.019008,-0.000740,-0.002708,0.204629,0.009373,-0.019078,-0.000492,
-0.005007,-0.001218,-0.000153,-0.111683,-0.003412,-0.001318,-0.035126,0.000971,-0.023590,0.001106,|-0.035420,-0.003170,0.001599,-0.038066,-0.000559,0.000992,-0.136818,-0.003891,-0.015099,-0.000571,
0.009913,-0.000048,0.003104,-0.129419,0.003735,0.000017,-0.009854,0.003409,0.015191,0.000046,|0.043357,-0.001557,-0.001682,-0.007766,-0.000085,-0.000101,0.099294,-0.006055,-0.002330,-0.000366,
0.005475,-0.001127,-0.000853,0.100480,-0.006549,0.000660,-0.044908,-0.002719,0.006159,-0.000485,|0.028128,0.001526,-0.000440,-0.003073,-0.000495,-0.000628,0.032634,-0.000692,0.005058,0.000145,
0.001556,-0.001306,-0.001056,-0.108371,-0.005909,0.000024,-0.010195,-0.003696,-0.009785,0.000341,|-0.044422,-0.000588,0.000475,-0.015843,-0.000318,0.000746,-0.080359,0.002291,0.001124,-0.000339,
0.013253,0.000243,-0.000451,-0.076061,0.005140,-0.000295,-0.041721,0.003932,-0.005227,0.000150,|0.059878,-0.000553,-0.000978,-0.017434,-0.000254,0.000022,-0.053503,-0.003170,0.002092,-0.000176,
-0.001166,0.000797,-0.000201,0.087054,-0.010673,0.000319,-0.000165,-0.005128,0.004137,-0.000036,|-0.092860,0.000334,0.000621,0.007734,-0.000601,-0.000593,0.112451,0.001945,0.000229,-0.000089,
-0.004957,0.000194,0.000105,-0.208241,-0.005685,-0.000035,-0.017345,0.001797,0.004506,-0.000125,|0.161359,-0.001193,0.001082,0.000243,0.000012,0.000003,0.035003,0.001031,-0.000688,-0.000048,
0.001736,-0.000337,0.000170,0.108621,-0.001017,-0.000204,-0.020063,0.002979,-0.001112,-0.000033,|0.026151,-0.000203,0.000296,-0.039749,-0.000529,0.000288,-0.054178,0.000266,-0.000158,-0.000060,
0.012003,-0.000208,0.000112,0.031509,0.001268,-0.000027,0.013834,0.001288,-0.001686,0.000009,|-0.099450,0.000648,-0.000413,-0.019262,-0.000557,0.000057,0.084400,-0.000073,0.000148,-0.000018,
0.009158,-0.000119,-0.000057,-0.018851,-0.003604,0.000116,-0.038009,-0.000744,0.001801,0.000029,|0.091133,-0.001020,0.001119,0.018093,-0.000208,-0.000104,0.013589,-0.000152,-0.000079,0.000002,
0.001527,-0.000208,0.000308,-0.006193,-0.001622,-0.000204,-0.037033,-0.000499,0.001738,-0.000018,|0.005615,-0.000109,-0.001285,0.035169,-0.000360,0.000099,-0.023089,-0.000014,-0.000162,-0.000021,
-0.002142,-0.000065,-0.000044,0.002765,0.001537,-0.000174,0.010133,-0.000088,-0.000590,0.000031,|-0.045006,0.000369,0.000725,-0.000866,-0.000219,0.000081,-0.022461,0.000043,-0.000114,-0.000027,
0.001743,-0.000030,0.000263,0.006122,-0.002084,0.000021,0.023158,0.000136,-0.000714,0.000026,|-0.028622,-0.000740,0.001296,-0.017038,-0.000313,-0.000095,-0.011757,0.000021,-0.000018,-0.000026,
0.002603,-0.000085,-0.000146,0.002064,0.000369,0.000008,0.011150,-0.000064,-0.000448,-0.000032,|0.027927,0.000304,-0.001445,0.040413,0.000107,0.000017,0.008459,-0.000023,-0.000071,-0.000001,
-0.001032,-0.000265,0.000233,-0.002121,0.001003,0.000002,-0.012160,-0.000081,-0.000001,0.000047,|-0.005897,-0.000222,0.000972,-0.020407,0.000243,0.000070,0.010440,0.000035,0.000068,0.000012,
0.000975,0.000124,0.000085,0.006710,-0.000455,0.000014,0.000741,0.000072,0.000222,0.000013,|-0.010768,-0.000071,0.001033,-0.027471,-0.000209,-0.000015,-0.008627,-0.000017,0.000051,-0.000009,
0.000936,0.000236,-0.000032,0.001584,0.000600,0.000017,0.006175,0.000072,-0.000388,-0.000003,|-0.002821,0.000030,-0.001067,0.046971,-0.000051,0.000019,-0.004126,-0.000041,0.000057,-0.000019,
0.000642,0.000011,0.000115,-0.002964,0.000729,0.000001,0.005211,-0.000166,0.000169,0.000022,|0.006490,-0.000091,0.000996,-0.016574,0.000160,-0.000000,0.001622,-0.000027,-0.000030,-0.000002,
0.000969,-0.000111,0.000006,0.007168,-0.000506,-0.000007,-0.004361,0.000098,0.000036,0.000001,|-0.005875,0.000016,0.000502,-0.038911,-0.000007,-0.000009,0.003322,0.000002,0.000014,0.000001,
-0.000120,0.000166,0.000184,0.003472,-0.000349,-0.000001,0.003520,0.000186,-0.000068,-0.000009,|-0.005781,0.000004,-0.000323,0.024154,-0.000066,-0.000009,-0.002887,-0.000028,0.000026,0.000002,
0.000529,-0.000168,0.000247,0.000154,-0.000243,0.000003,0.002882,-0.000134,0.000074,-0.000011,|0.000819,-0.000189,-0.000461,0.007482,-0.000029,0.000009,-0.004338,0.000015,0.000008,-0.000002,
0.000687,0.000108,-0.000012,0.000809,0.000099,0.000001,0.000204,-0.000172,0.000063,0.000017,|0.003470,0.000216,0.000126,-0.007140,0.000008,-0.000003,-0.003350,-0.000041,0.000001,-0.000000,
-0.000313,0.000073,-0.000127,0.000921,0.000197,-0.000000,-0.001144,0.000104,-0.000050,-0.000006,|-0.002243,-0.000516,0.000320,-0.008163,0.000016,-0.000003,0.002926,-0.000037,0.000021,0.000002,
-0.000217,-0.000022,0.000166,0.000704,0.000134,0.000002,0.000304,-0.000069,-0.000021,-0.000004,|-0.003842,0.000075,-0.000213,0.011549,-0.000010,0.000004,0.001875,0.000025,-0.000011,0.000002,
0.000434,-0.000038,-0.000112,0.000527,-0.000093,-0.000001,0.000421,-0.000137,0.000017,0.000001,|0.007615,0.000332,0.000258,-0.009639,-0.000006,0.000006,-0.000775,-0.000038,-0.000006,-0.000002,
0.000127,0.000048,0.000033,0.001519,-0.000102,0.000002,-0.000134,0.000209,0.000022,0.000003,|-0.005037,-0.000047,0.000072,-0.000245,0.000007,-0.000012,-0.001453,-0.000016,0.000001,0.000002,
0.000609,0.000003,0.000052,0.000699,0.000058,0.000002,0.000226,-0.000096,-0.000017,-0.000001,|-0.004453,-0.000149,-0.000017,0.004423,-0.000011,0.000006,0.001899,-0.000006,-0.000005,0.000003,
-0.000204,0.000004,-0.000036,0.000279,0.000125,0.000000,0.000160,-0.000160,-0.000019,0.000002,|0.003305,-0.000067,-0.000035,0.000142,-0.000005,-0.000007,-0.000212,-0.000007,-0.000006,-0.000004,
0.000179,0.000001,-0.000042,0.000067,0.000019,0.000001,0.000122,-0.000037,0.000017,0.000001,|0.001255,0.000028,-0.000017,-0.002023,-0.000003,-0.000002,-0.000859,-0.000022,-0.000002,0.000001,
0.000206,-0.000001,0.000024,0.000102,-0.000037,0.000001,-0.000014,0.000059,0.000032,0.000001,|-0.002084,0.000049,0.000003,0.002002,-0.000002,0.000003,0.000360,-0.000000,0.000001,0.000001,
0.000365,0.000004,0.000013,0.000289,-0.000004,0.000000,0.000067,-0.000004,0.000016,0.000001,|0.001272,0.000002,0.000011,-0.000864,-0.000001,0.000001,0.000240,-0.000031,0.000001,-0.000002,
0.000401,0.000002,-0.000006,-0.000164,0.000012,0.000000,0.000079,-0.000031,0.000008,0.000001,|0.002287,-0.000024,0.000010,-0.000723,0.000000,-0.000002,0.000084,-0.000031,0.000000,0.000001,
0.000018,0.000002,-0.000012,0.000253,-0.000008,0.000001,0.000049,-0.000010,0.000003,0.000001,|-0.000582,0.000020,-0.000010,0.001894,0.000000,0.000003,-0.000135,-0.000024,-0.000000,0.000000,
-0.000170,0.000004,-0.000006,0.000448,-0.000003,0.000001,-0.000004,0.000005,-0.000000,0.000001,|-0.001670,0.000012,0.000006,-0.000176,0.000000,-0.000003,0.000178,0.000014,-0.000000,0.000000,
-0.000123,0.000002,0.000005,-0.000528,-0.000000,0.000000,0.000032,0.000008,-0.000001,-0.000001,|0.000356,-0.000016,0.000002,-0.000370,0.000000,0.000000,-0.000030,0.000029,0.000000,-0.000000,
0.000057,0.000001,0.000001,-0.000316,0.000001,0.000000,-0.000005,-0.000007,-0.000000,0.000001,|0.001025,0.000008,-0.000001,-0.000043,-0.000000,0.000001,-0.000099,0.000000,-0.000000,0.000001,
-0.000208,0.000003,-0.000003,0.000369,-0.000000,0.000000,0.000035,-0.000012,0.000001,0.000001,|0.000306,-0.000003,-0.000001,0.000169,-0.000000,-0.000001,0.000004,-0.000013,0.000000,-0.000000,
-0.000286,0.000003,-0.000002,0.000034,-0.000000,-0.000000,0.000039,0.000015,0.000001,-0.000001,|-0.000196,-0.000005,-0.000000,0.000135,0.000000,-0.000000,0.000045,0.000002,-0.000000,-0.000000,
-0.000089,0.000000,0.000003,-0.000130,0.000000,-0.000000,0.000009,-0.000000,-0.000002,0.000000,|-0.000196,0.000003,-0.000000,-0.000132,-0.000000,0.000000,0.000029,0.000004,-0.000000,0.000000,
0.000028,-0.000001,-0.000001,0.000177,-0.000000,0.000000,-0.000017,-0.000007,0.000001,0.000000,|0.000149,0.000003,-0.000000,0.000183,0.000000,-0.000001,-0.000025,-0.000002,0.000000,0.000000,
0.000074,-0.000001,-0.000002,0.000083,-0.000000,-0.000000,-0.000013,0.000008,0.000000,-0.000001,|0.000133,0.000001,-0.000000,0.000080,-0.000000,0.000001,0.000080,0.000000,-0.000000,-0.000000,
