5.581137 10239 3.485011,3.743776 10297 3.461096,2.451033 10149 3.387722
4.157837 10492 3.507576,2.504359 10172 3.390693,0.715680 10194 3.423494
4.157837 10169 3.376834,2.263184 10421 3.476162,2.139305 10231 3.464107
4.157837 10145 3.370235,2.263184 11746 3.912282,2.139305 17987 6.098392
4.157837 10273 3.434876,2.809491 10591 3.522465,2.398462 11679 3.933870
4.157837 19092 6.408151,2.504354 10168 3.395660,0.715581 10558 3.522536
4.157837 10125 3.382248,2.687003 10412 3.527921,0.962879 10406 3.476565
4.157837 10356 3.455095,2.504357 10122 3.382904,0.715671 10540 3.537214
4.157837 10142 3.371578,2.263184 19337 6.477548,2.139305 10275 3.466578
4.157837 10169 3.399067,2.263184 10283 3.430069,0.695931 10296 3.449781
4.157837 10164 3.394966,2.504354 10154 3.384807,0.715664 10398 3.465619
4.157837 10081 3.339187,2.268007 10273 3.485069,0.718439 10694 3.568374
4.157837 10125 3.367297,2.263184 10164 3.403425,0.695929 10252 3.408210
4.157837 10158 3.405146,4.099496 11365 3.636756,2.487008 10382 3.480021
9.265243 12592 4.250860,3.715268 10000 3.275516,2.654899 10162 3.380221
4.157837 10128 3.359041,2.263184 10148 3.387486,2.139305 10322 3.478559
4.157837 10139 3.354132,2.263198 10313 3.434564,2.139274 10237 3.473343
4.157837 11699 3.919863,2.504356 10113 3.331021,0.749018 10179 3.416589
7.343762 12499 4.137578,4.080576 10181 3.406499,2.320658 11839 3.983326
4.157837 20063 6.750823,2.504353 10152 3.373575,0.715683 10287 3.436432
4.157837 10605 3.520646,2.263184 10137 3.438153,2.139305 11121 3.735777
4.157837 10309 3.419729,2.267978 10549 3.522008,0.719448 10126 3.362860
