4.157837 10093 3.362692,2.504354 19261 6.459636,0.715532 10938 3.638616
4.157837 10115 3.346310,2.263184 10158 3.386935,2.140297 10187 3.433450
6.896077 10160 3.417551,5.352242 10298 3.411903,3.625197 10806 3.622627
5.581202 10637 3.609920,4.191517 10152 3.453164,3.970150 12322 4.161409
4.157837 10087 3.377527,2.494713 11264 3.765909,0.933202 11046 3.705024
4.157837 10187 3.406967,2.263184 10264 3.426911,0.695941 10289 3.451720
9.265243 10927 3.688268,2.654929 10690 3.564788,2.496760 10221 3.416561
4.157837 10136 3.373567,2.263184 10150 3.403256,2.139305 11478 3.866023
4.157837 10488 3.498457,2.504357 10139 3.405769,2.347509 10632 3.586498
4.172311 11088 3.650705,2.275268 10193 3.429521,1.975371 11097 3.727159
4.157837 10095 3.337871,2.263184 34022 11.464037,0.695926 10287 3.426784
5.581288 10936 3.681925,4.546856 10166 3.412007,3.260858 10116 3.370378
4.157837 10114 3.361616,2.504357 10165 3.425344,2.459316 10846 3.498056
4.157837 10086 3.362729,2.268004 11417 3.851792,0.718516 10141 3.370955
4.157837 10429 3.459164,2.267978 10222 3.401745,0.719445 10266 3.409549
4.157837 10208 3.388234,2.263184 10128 3.369572,0.695926 10356 3.448503
4.157837 10683 3.549931,2.263184 10156 3.417254,0.696014 10227 3.388227
4.157837 10125 3.349399,2.504354 10119 3.371037,0.715635 12297 4.093985
4.157837 10129 3.361044,2.504355 10140 3.385167,0.715530 10146 3.381690
5.581111 12929 4.367224,4.190972 11971 3.976260,2.518981 10315 3.451495
4.157837 10167 3.374207,2.504357 10164 3.392293,0.715608 10253 3.409311
4.776011 10322 3.469461,2.911301 10353 3.448748,1.434494 10437 3.488693
